id	filename	md5	size	state
2a912951-aeb2-4695-96ee-9ea067ff4ccb	2a912951-aeb2-4695-96ee-9ea067ff4ccb/cbdf8c09-e3f4-4b3e-bdaa-f4a3a4e40068.htseq.counts.gz	c640df10d2d1af9a04705821b33c7957	258770	validated
38c85503-bd80-4952-8726-657af216295e	38c85503-bd80-4952-8726-657af216295e/f5bb4817-1727-41f9-b7f6-3a4e1818c2df.htseq.counts.gz	f45b80f9007bbf35637b94d6eeb63d3d	257025	validated
4b7f43e2-26a2-46e7-a9f4-f3a411483d4f	4b7f43e2-26a2-46e7-a9f4-f3a411483d4f/d44d370d-d86e-4006-9530-ab3442cb2848.htseq.counts.gz	414a96f1beda60ea93655c746255cc45	255606	validated
515ce558-5c94-48c0-8169-2517da2f7170	515ce558-5c94-48c0-8169-2517da2f7170/6bdfd682-d5da-403d-b901-9d6fec360d3a.htseq.counts.gz	6ab4c49a54b03b06386c71922292228c	255759	validated
565983e0-ffa6-49b2-a4ec-b9fa18a43b5a	565983e0-ffa6-49b2-a4ec-b9fa18a43b5a/8cb39efc-4bfb-49df-bc48-159d9211bc5a.htseq.counts.gz	87a11a491fc59ea4d0f3497728083b25	257086	validated
5e5ad53d-2c5e-4e30-bb55-1749dbcdb270	5e5ad53d-2c5e-4e30-bb55-1749dbcdb270/8b4a22e2-e19a-4f8c-9f8f-a19f69fc8cbf.htseq.counts.gz	cdaa36743ed82dff0c11810cd59d01bf	245851	validated
629fb40f-e97d-4bb8-8f59-0a71256211b1	629fb40f-e97d-4bb8-8f59-0a71256211b1/2a254376-7498-4c41-8c20-8b4bdd8369da.htseq.counts.gz	1386f7e176fee2909ce4a6446cf5afe8	254407	validated
867719fa-1bd0-4f57-9cd8-cc4b1b5881bb	867719fa-1bd0-4f57-9cd8-cc4b1b5881bb/cbc1bf1c-8ddd-424a-b95a-5ca231d94e63.htseq.counts.gz	54107c236d8a2faf0fe11288567139b9	256337	validated
93d2f741-5fa7-447f-beab-da1876e2130e	93d2f741-5fa7-447f-beab-da1876e2130e/d90b02f3-4c68-40ec-9704-1d1d6706e402.htseq.counts.gz	dadfabaa288556176bf940160a9bc15c	256319	validated
95aa5f47-7786-4056-b91e-4cb0dba69949	95aa5f47-7786-4056-b91e-4cb0dba69949/64718111-dba7-4f49-9f3a-7f2bccc12cda.htseq.counts.gz	e2d45a52d84b2281297dd889f18641e1	255884	validated
b36ac304-1876-4967-82f4-36244e5572e2	b36ac304-1876-4967-82f4-36244e5572e2/d638d8cf-7276-49aa-b2f7-81eb10e7b33d.htseq.counts.gz	15d311f876fbacb9992b688ca59d58a5	254163	validated
c56dd841-58f8-4b85-890a-1132f6c71b9c	c56dd841-58f8-4b85-890a-1132f6c71b9c/eb80bbc4-7186-4872-86df-90629a53ecb1.htseq.counts.gz	837afca92c902d3e2091dded753afd40	261372	validated
d052a08c-a172-4021-a424-079d9f3a78a3	d052a08c-a172-4021-a424-079d9f3a78a3/fcc54ed3-5ba9-461f-a3a5-72b8eb89e4da.htseq.counts.gz	85f4b922a0fd065108d2dcd52990e86c	256494	validated
d396b1c2-49fe-47ed-aaee-648f6dfb0dae	d396b1c2-49fe-47ed-aaee-648f6dfb0dae/42959bfe-1a62-465f-aafc-684d973b43f7.htseq.counts.gz	d5f63ec6fa49ea6ba34aa1dc75f086ef	252990	validated
d61f7ccd-7541-4cc2-9109-ecee3f223460	d61f7ccd-7541-4cc2-9109-ecee3f223460/ac22ae42-0d53-4b2e-ad6c-f4c98f9be040.htseq.counts.gz	15d7814d30448f98e267d6d567e9b505	257479	validated
d63e5999-865b-46b1-9833-24a138f25ae7	d63e5999-865b-46b1-9833-24a138f25ae7/0317a370-6a1e-44bd-bfd0-81fd06ec56fb.htseq.counts.gz	36d9025b6b6af793cff72dea796062da	251970	validated
dcef5416-8458-40ee-b919-358e2774eb2f	dcef5416-8458-40ee-b919-358e2774eb2f/e87cfbaa-791e-4a6b-8ec8-28df636e7cdc.htseq.counts.gz	5e37cf1321d7afbef67249310ab5ac59	253190	validated
e0c7fbaa-32f9-4ddd-ba62-4358da566b2a	e0c7fbaa-32f9-4ddd-ba62-4358da566b2a/57c3b272-7dcb-4937-83c1-02a3694e701f.htseq.counts.gz	3e6b63620bd6c9c62f3918f005f7137a	251692	validated
e77e4987-2cd5-4304-a2af-54e1fa374d69	e77e4987-2cd5-4304-a2af-54e1fa374d69/dc3875c2-1a88-491c-bf98-fa344dd3b07e.htseq.counts.gz	d9c66224476f0bea65ca95d65c57a443	255258	validated
e7c1701a-4405-4d71-8b07-01366b805b7c	e7c1701a-4405-4d71-8b07-01366b805b7c/7cc30f38-a19e-4552-a5ca-64a11575abed.htseq.counts.gz	99ea4af79ac694386ddbc19fbd976d9b	255213	validated
f711bd60-28cb-4751-9243-f7890fcb9f82	f711bd60-28cb-4751-9243-f7890fcb9f82/419b4c0a-c23f-4214-8de0-722d2ae0846b.htseq.counts.gz	51f02559f8b603f244af257b7f024ddd	249413	validated
