Symbol	Vehicle_rep1	IL1B_rep1	WIN_rep1	WIN-IL1B_rep1	Vehicle_rep2	IL1B_rep2	WIN_rep2	WIN-IL1B_rep2
ABI1	2618	2987	1409	1304	6274	7645	2872	4165
ABI2	5462	3915	3258	2556	12845	10043	5948	8354
ABI3	0	0	2	1	1	0	0	0
ABI3BP	109	83	123	69	323	336	217	298
ABL1	4217	4207	3300	2526	18445	14469	7678	10020
ABL2	1372	1753	1056	653	3991	5212	1633	2667
ABLIM1	997	1902	749	299	2645	5782	1436	1148
ABLIM2	56	18	117	86	236	90	293	303
ABLIM3	95	61	85	46	335	219	212	157
ABO	4	1	0	1	5	2	1	0
ABR	4660	7785	4432	3098	19382	28652	10715	12860
ABRA	0	0	1	0	0	0	0	0
ABRACL	590	607	547	273	1423	1410	1057	906
ABT1	511	526	695	876	1952	1652	1766	2926
ABTB1	417	410	277	157	1867	1437	826	727
ABTB2	1120	3886	506	640	4816	13897	1321	2604
AC093375.1	0	2	0	1	8	0	5	3
ACAA1	1608	1145	1050	600	6323	4184	2599	2367
ACAA2	2774	1622	1846	855	9528	6203	4828	3802
ACACA	2961	2268	4963	4882	10314	8096	9741	16995
ACACB	351	129	471	297	1179	490	1000	1066
ACAD10	768	469	750	283	2631	1554	1749	1171
ACAD11	111	32	199	195	231	115	246	422
ACAD8	902	535	663	701	3111	1911	1652	2687
ACAD9	935	748	2086	1956	3335	2550	4701	6268
ACADL	60	24	53	20	138	86	111	55
ACADM	1199	1285	1297	1268	3673	3442	3014	4647
ACADS	332	209	150	62	1397	689	372	176
ACADSB	690	346	425	397	1618	956	868	1383
ACADVL	5663	4518	5836	4383	22360	16933	16230	18912
ACAN	8	17	8	0	27	52	9	8
ACAP1	27	17	58	39	115	72	148	135
ACAP2	1091	1067	1165	1018	2248	2311	1996	3919
ACAP3	753	662	1178	975	3257	2353	4504	4374
ACAT1	1622	877	2722	1891	3920	2836	5657	6270
ACAT2	1309	870	985	192	3925	3240	2571	811
ACBD3	1133	1382	3067	3094	3233	3599	5814	12051
ACBD4	239	128	274	146	885	380	787	552
ACBD5	2294	1796	1260	1341	6555	5199	2591	5120
ACBD6	982	589	845	698	2951	2105	2059	2589
ACBD7	433	228	418	635	689	605	711	1844
ACCS	98	73	70	42	341	242	195	107
ACCSL	0	0	0	0	3	0	1	1
ACD	413	359	825	854	2046	1419	2392	3711
ACE	4	14	31	35	27	23	75	127
ACE2	11	23	10	9	26	58	13	31
ACER1	0	0	0	0	0	0	0	1
ACER2	69	51	24	11	207	149	45	41
ACER3	685	524	254	169	1150	1126	391	488
ACHE	146	199	93	68	730	735	269	277
ACIN1	3963	3043	3412	3275	11586	10651	6724	9870
ACKR1	145	213	57	17	512	721	181	94
ACKR2	11	5	11	3	35	13	18	7
ACKR3	229	326	59	28	906	892	150	127
ACKR4	1	0	1	0	0	2	2	1
ACLY	9311	7645	8028	4904	33395	25693	16030	17157
ACMSD	0	0	1	0	2	1	0	0
ACN9	266	149	369	196	618	348	671	707
ACO1	2052	1363	2470	2220	6472	4395	5160	8336
ACO2	3108	2652	5589	5441	12778	9494	12575	19461
ACOT1	121	56	102	33	474	190	278	160
ACOT11	17	6	80	54	81	26	194	169
ACOT12	2	2	6	1	12	11	17	3
ACOT13	822	632	690	411	2283	1707	1424	1402
ACOT2	421	320	449	189	1750	979	811	653
ACOT4	6	10	27	15	47	18	73	36
ACOT6	0	0	1	0	1	1	3	2
ACOT7	833	1068	1342	724	3685	3812	3375	2726
ACOT8	461	423	808	684	2208	1313	2459	2676
ACOT9	561	653	944	687	1991	2271	2065	2583
ACOX1	4156	2789	4016	4196	11214	8185	8186	14429
ACOX2	99	107	87	81	386	266	232	308
ACOX3	654	451	776	576	2639	1558	1671	2065
ACOXL	6	6	5	1	24	12	3	4
ACP1	2044	1711	3659	3457	5157	4665	7622	12178
ACP2	2030	1857	1406	1078	8962	5954	3750	4090
ACP5	4	10	98	84	34	22	254	276
ACP6	536	271	241	138	1515	918	681	535
ACPP	4	4	2	0	18	7	2	1
ACPT	1	0	2	0	8	9	4	12
ACR	2	0	0	5	10	1	12	13
ACRBP	16	11	4	2	76	32	19	16
ACRC	31	30	41	18	92	115	128	110
ACRV1	3	4	0	1	18	10	9	5
ACSBG1	206	194	129	12	1060	659	285	65
ACSBG2	7	1	4	0	5	7	12	6
ACSF2	470	217	188	73	1697	769	494	223
ACSF3	370	338	371	278	1700	1140	1049	1202
ACSL1	461	403	1602	1731	1349	1376	3113	7034
ACSL3	2797	2299	2562	2380	6686	6508	4513	7963
ACSL4	715	1578	507	252	1769	3886	986	1080
ACSL5	12	157	22	88	27	416	30	310
ACSL6	21	27	13	15	84	92	33	22
ACSM1	1	0	0	0	0	3	1	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	0	0	3	0	0	0	4	1
ACSM4	0	0	0	0	0	0	0	0
ACSM5	1	1	1	0	7	2	5	0
ACSS1	326	308	473	470	1195	1121	1237	1965
ACSS2	1045	660	708	263	3990	2588	1825	1145
ACSS3	1032	541	683	373	3202	1784	1301	1379
ACTA1	47	117	53	26	327	435	130	70
ACTA2	10728	10495	14608	219	41981	32950	29540	767
ACTB	75957	79412	55166	15000	296840	224627	120004	50608
ACTBL2	3	6	6	1	21	10	14	0
ACTC1	139	150	243	3	618	599	416	10
ACTG1	96029	111740	74957	16939	386497	343750	171161	65457
ACTG1P4	1	2	2	1	6	6	2	3
ACTG2	375	283	105	10	1532	1069	305	36
ACTL10	30	7	122	80	114	39	306	316
ACTL6A	1487	1198	1871	1717	4129	3831	3896	6626
ACTL6B	61	51	45	35	269	179	109	119
ACTL7A	0	1	0	1	0	0	3	0
ACTL7B	0	0	0	0	0	0	2	2
ACTL8	0	0	0	0	0	0	0	2
ACTL9	0	0	0	0	0	0	0	0
ACTN1	10048	13364	10404	3863	48756	49109	22901	16899
ACTN1-AS1	0	0	0	1	2	4	0	0
ACTN2	149	157	26	17	540	634	95	57
ACTN3	0	0	4	0	3	2	10	6
ACTN4	11135	11020	10107	4291	46251	39660	20322	14474
ACTR10	2321	1710	2209	1658	5537	4918	5040	6305
ACTR1A	6349	5449	5400	4506	21574	17882	12015	15148
ACTR1B	2002	1689	2068	1611	7411	5101	4738	5473
ACTR2	7375	7866	6075	4905	16801	19441	10949	18081
ACTR3	5586	6756	4476	2693	14461	17181	8779	10467
ACTR3B	699	330	288	161	2300	1309	714	570
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	5	2	3	0	10	9	9	8
ACTR5	193	177	184	158	854	606	514	732
ACTR6	724	684	452	724	1081	1547	1204	2689
ACTR8	1210	1021	1354	1288	3382	3170	2511	4453
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	23	19	60	60	74	48	107	169
ACVR1	1365	1369	927	1098	4227	4513	2269	4550
ACVR1B	1300	1022	506	337	4343	3171	1053	1182
ACVR1C	12	12	6	4	26	25	1	4
ACVR2A	580	430	404	404	1296	1076	1073	1876
ACVR2B	763	464	519	601	1902	1316	1042	1955
ACVR2B-AS1	22	23	28	19	87	57	46	64
ACVRL1	4	7	3	3	16	18	5	6
ACY1	35	16	92	63	106	65	110	125
ACY3	0	0	0	1	0	0	0	0
ACYP1	103	65	77	26	262	167	125	84
ACYP2	473	430	283	230	1379	995	729	995
ADA	119	83	92	44	349	289	263	162
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	1	0	1	0	0
ADAL	312	157	367	213	796	531	788	891
ADAM10	2970	2177	2270	2164	7231	6094	5103	9217
ADAM11	22	25	54	33	121	98	130	104
ADAM12	1200	1326	2030	995	3853	4154	3290	3462
ADAM15	1054	1162	1117	849	4732	3764	3109	3570
ADAM17	2521	2648	3426	3427	7233	7798	6187	12833
ADAM18	0	0	1	0	0	0	0	0
ADAM19	1238	894	621	64	4233	2898	1268	209
ADAM1A	53	49	63	31	172	140	149	161
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0	3	1	1	6	2	2	6
ADAM20P1	0	1	2	2	2	1	9	5
ADAM21	21	12	19	2	73	38	41	25
ADAM21P1	2	3	3	2	11	8	2	4
ADAM22	319	225	383	437	784	679	758	1732
ADAM23	838	862	437	271	2568	2621	960	1094
ADAM28	2	0	3	0	6	1	3	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	9	4	9	3	32	28	23	13
ADAM33	22	25	35	15	145	111	126	72
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	14	10	5	9	38	40	30	27
ADAM9	16976	14984	13064	5823	49689	42502	25704	23821
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	397	8746	468	383	1374	29528	1053	1554
ADAMTS10	437	278	319	118	1747	1004	832	471
ADAMTS12	133	90	76	19	524	377	127	54
ADAMTS13	141	82	74	58	641	374	295	201
ADAMTS14	124	53	51	18	530	263	107	43
ADAMTS15	5692	1854	1918	111	24179	5921	4722	447
ADAMTS16	4397	3185	2800	242	17261	10397	6619	1026
ADAMTS17	37	36	420	401	153	120	821	1212
ADAMTS18	4	11	1	0	14	12	1	1
ADAMTS19	3	2	0	1	14	6	2	4
ADAMTS2	71	95	16	21	223	427	30	89
ADAMTS20	0	0	0	0	0	0	0	1
ADAMTS3	99	87	124	144	285	281	225	593
ADAMTS4	61	49	7	4	219	179	20	21
ADAMTS5	25	99	38	7	76	207	57	47
ADAMTS6	53	34	19	31	149	104	30	78
ADAMTS7	361	339	104	73	1776	1176	371	272
ADAMTS7P1	0	0	1	0	0	0	0	0
ADAMTS8	15	35	9	2	105	85	28	11
ADAMTS9	209	8297	136	206	664	25722	280	839
ADAMTS9-AS2	19	14	27	15	61	37	36	83
ADAMTSL1	429	266	197	51	1716	987	424	153
ADAMTSL2	11	15	13	8	78	59	35	26
ADAMTSL3	485	641	517	59	1678	2519	958	268
ADAMTSL4	95	83	68	24	501	326	194	80
ADAMTSL4-AS1	0	0	0	0	3	1	1	2
ADAMTSL5	40	40	86	27	106	96	128	97
ADAP1	28	106	26	20	145	405	50	98
ADAP2	19	8	19	13	43	37	25	27
ADAR	8957	17849	9754	9575	30956	63048	20038	35929
ADARB1	441	321	540	355	1243	994	1072	1051
ADARB2	6	3	6	2	32	24	11	21
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	530	368	377	232	1655	1190	733	845
ADAT2	78	65	25	18	195	186	65	48
ADAT3	68	107	62	53	386	363	168	205
ADC	266	116	82	35	1074	337	232	119
ADCK1	320	201	316	220	1191	610	784	845
ADCK2	386	285	300	122	1848	897	953	598
ADCK3	438	176	1009	1005	1755	613	2560	3525
ADCK4	1175	676	724	454	4404	2103	1816	1595
ADCK5	164	89	91	51	669	376	328	228
ADCY1	579	439	255	131	2158	1541	395	472
ADCY10	1	1	1	0	4	4	7	10
ADCY10P1	10	2	19	5	24	23	46	29
ADCY2	361	202	187	37	1270	731	445	162
ADCY3	460	507	264	200	2054	1738	606	688
ADCY4	0	0	3	1	1	4	7	6
ADCY5	254	134	116	66	1060	540	292	241
ADCY6	1474	1408	2440	2136	6001	5151	5823	9208
ADCY7	195	218	499	322	756	684	1115	1214
ADCY8	109	109	114	41	401	362	269	157
ADCY9	745	439	874	510	2920	1652	1705	1776
ADCYAP1	7	4	3	1	15	12	8	2
ADCYAP1R1	96	173	38	81	446	585	132	361
ADD1	11903	8576	6919	3936	43182	29411	16113	14332
ADD2	922	789	509	312	3489	2700	1017	967
ADD3	4087	2619	1575	366	9630	7007	3182	1373
ADD3-AS1	5	3	4	0	14	10	17	4
ADGB	0	0	0	0	0	1	0	2
ADH1A	0	0	0	0	0	1	0	0
ADH1B	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	1	0	1
ADH4	1	1	0	0	3	2	0	0
ADH5	4608	3040	2676	1900	13078	9162	6185	7292
ADH6	3	2	2	1	5	6	1	1
ADH7	1	0	0	0	2	0	0	1
ADHFE1	180	59	34	31	575	323	129	137
ADI1	1229	883	1713	1366	3701	2522	3915	5260
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	2260	2089	4966	4706	7429	6596	9490	16982
ADIPOR2	2400	1823	1752	1468	6504	5806	3368	5068
ADIRF	7	1	2	1	11	8	10	1
ADK	1836	1309	3067	3499	4817	3927	7204	13461
ADM	19	14	19	9	66	40	46	19
ADM2	37	43	1088	1124	168	165	2572	4206
ADM5	3	3	5	5	34	28	14	19
ADNP	3730	2563	1680	1136	10234	8218	3837	4727
ADNP2	788	873	1076	984	2847	2356	2145	3873
ADO	1149	1454	953	1243	2523	3007	1955	4638
ADORA1	1364	739	977	161	6493	2643	2891	703
ADORA2A	1	2	1	1	3	8	1	6
ADORA2A-AS1	0	6	2	4	9	22	7	9
ADORA2B	149	224	714	718	421	625	1456	2850
ADORA3	1	0	0	0	5	1	0	0
ADPGK	938	1361	1482	1427	3260	4388	3594	6234
ADPGK-AS1	3	2	6	2	11	7	4	13
ADPRH	72	60	41	32	180	174	102	93
ADPRHL1	55	24	51	53	169	118	173	217
ADPRHL2	802	1493	1012	941	3798	5484	2928	4249
ADPRM	181	149	201	186	439	455	499	682
ADRA1A	13	6	10	8	40	24	23	54
ADRA1B	38	98	79	23	155	264	239	81
ADRA1D	43	26	43	10	202	92	73	15
ADRA2A	126	132	104	46	506	440	242	204
ADRA2B	24	27	7	5	105	94	40	9
ADRA2C	6	4	28	17	19	12	86	58
ADRB1	12	9	13	7	29	26	26	24
ADRB2	37	62	56	4	162	231	112	27
ADRB3	0	0	0	0	0	0	1	4
ADRBK1	1581	1520	1803	1715	6287	4696	4707	6186
ADRBK2	135	123	125	168	376	355	219	617
ADRM1	1924	2463	2656	2139	9489	9007	7387	9145
ADSL	1401	1253	2085	1853	4982	4423	5479	7496
ADSS	1005	940	1041	1156	1962	2514	2006	3766
ADSSL1	114	70	305	192	445	225	731	801
ADTRP	1	3	2	1	7	2	16	5
AEBP1	1609	1162	1411	963	6842	4689	3885	3692
AEBP2	989	662	664	588	1724	1612	1197	1832
AEN	1070	1120	1013	1014	3224	3343	2017	3560
AES	5877	5574	2818	1608	22891	15796	7431	6105
AFAP1	3129	3465	2417	905	11060	11223	4211	3154
AFAP1-AS1	2	2	1	1	16	6	4	3
AFAP1L1	42	29	53	43	170	133	120	166
AFAP1L2	198	132	42	11	796	487	93	38
AFF1	1400	1240	1019	743	3478	3354	1773	2209
AFF2	2041	1363	1052	411	5747	4024	1976	1569
AFF3	474	973	210	202	1472	2909	366	760
AFF4	6109	6297	7060	7859	14614	16729	11374	27217
AFG3L1P	164	76	138	126	395	277	306	293
AFG3L2	1649	1382	1679	1493	5242	4653	4029	6170
AFM	0	0	0	0	0	0	0	0
AFMID	260	148	407	242	813	505	846	684
AFP	8	18	11	6	24	68	20	11
AFTPH	1001	884	1196	1416	2250	2557	2569	6179
AGA	449	360	459	333	1309	1037	1107	1426
AGAP1	992	903	1120	1311	3373	2895	2174	4479
AGAP11	1	1	1	2	2	3	3	1
AGAP2	429	258	403	418	1577	881	953	1445
AGAP2-AS1	49	47	100	113	197	136	296	338
AGAP3	1207	959	2252	2219	5681	3360	6799	10129
AGAP4	14	5	12	7	39	29	29	22
AGAP5	8	13	19	18	47	34	40	54
AGAP6	54	30	73	56	138	101	271	265
AGAP7	10	6	6	6	24	17	21	27
AGAP9	0	0	0	0	0	0	0	0
AGBL1	1	0	0	1	0	0	2	1
AGBL1-AS1	1	0	0	0	0	0	0	0
AGBL2	23	9	2	2	36	25	6	3
AGBL3	21	3	14	7	48	28	28	27
AGBL4	18	10	11	13	34	34	20	18
AGBL4-IT1	0	0	0	0	0	0	0	0
AGBL5	1354	748	1145	779	5017	2736	2645	2702
AGBL5-AS1	0	0	0	0	3	1	5	3
AGER	52	31	47	44	182	134	206	154
AGFG1	2042	2893	1638	1542	5187	7059	3360	6027
AGFG2	601	360	568	429	2224	1178	1194	1483
AGGF1	1855	1343	1450	1373	4213	3598	3341	5102
AGK	642	562	758	620	1895	1591	1304	1782
AGL	845	654	313	141	2053	1710	501	540
AGMAT	58	21	206	107	160	61	364	322
AGMO	0	0	0	0	1	0	3	1
AGO1	2360	1381	1089	939	7575	4396	2123	2969
AGO2	343	538	273	466	1214	1641	427	1562
AGO3	524	374	547	514	1346	986	725	1343
AGO4	602	398	253	149	1539	1301	525	596
AGPAT1	3796	3214	5399	4844	15010	10362	13113	17862
AGPAT2	326	269	350	197	1513	828	1024	866
AGPAT3	3267	4838	2269	2014	12156	14952	5251	8158
AGPAT4	1351	1447	780	716	4084	4324	1698	2691
AGPAT4-IT1	14	6	12	8	48	34	27	16
AGPAT5	3520	3137	3289	3810	7920	7558	7703	15718
AGPAT6	2770	2478	2594	2148	10235	8397	6270	7965
AGPAT9	27	46	359	416	89	118	689	1626
AGPS	1732	1137	1606	1161	4040	3044	3211	4857
AGR2	0	0	0	0	0	1	0	0
AGR3	0	0	0	0	0	0	0	0
AGRN	13469	16590	11576	7154	75463	60820	30253	33452
AGRP	0	0	1	1	0	0	0	3
AGT	114	85	219	158	457	253	485	487
AGTPBP1	727	488	787	779	1607	1414	1551	2779
AGTR1	7	8	0	1	11	17	6	8
AGTR2	0	0	0	0	0	0	0	0
AGTRAP	672	868	501	262	3021	2787	1284	988
AGXT	0	1	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	1
AHCTF1	744	663	1114	1432	1894	2271	2247	5871
AHCTF1P1	22	9	30	25	43	51	52	116
AHCY	3544	3216	4181	3070	15426	11039	11312	13225
AHCYL1	4535	3914	4306	4201	13589	12811	9318	16410
AHCYL2	2200	1278	2163	1870	6381	4149	4182	7375
AHDC1	1156	817	562	305	5198	2635	1293	1144
AHI1	438	313	1117	1131	886	1002	2397	4490
AHNAK	11155	8615	5746	1531	44505	36907	10704	4838
AHNAK2	3101	873	2506	157	14092	3644	4867	559
AHR	616	1354	441	221	1490	3209	661	750
AHRR	819	637	468	292	3322	2256	1020	1212
AHSA1	2204	1808	3511	3406	5946	5924	5993	10138
AHSA2	173	63	101	53	451	254	466	227
AHSG	0	0	2	0	3	2	5	1
AHSP	0	0	0	0	1	0	0	0
AICDA	0	3	0	2	0	8	0	1
AIDA	574	692	486	546	1092	1809	909	2045
AIF1	0	0	6	3	0	1	16	23
AIF1L	2165	761	1534	958	8002	2902	3349	3289
AIFM1	803	475	1808	1248	2743	1766	4095	4587
AIFM2	459	532	286	202	1862	1747	651	621
AIFM3	9	3	3	3	34	13	23	20
AIG1	1244	941	1182	978	3347	2515	2353	3136
AIM1	20	61	5	11	36	152	17	33
AIM1L	3	1	6	2	1	2	8	8
AIM2	16	29	10	7	34	67	29	31
AIMP1	892	730	941	510	2202	2090	1973	2166
AIMP2	350	359	736	601	1305	1122	1486	1803
AIP	1131	853	1277	1035	4683	3156	3818	4736
AIPL1	1	1	1	0	3	1	0	0
AIRE	0	43	3	19	2	147	9	56
AIRN	0	0	0	0	2	0	3	2
AJAP1	81	130	97	52	232	384	203	194
AJUBA	1161	875	1206	396	4379	2664	2509	1650
AK1	645	473	680	267	2977	1484	1761	1260
AK2	1875	1537	3174	3176	6103	4638	7351	12135
AK3	2281	4437	1219	858	5142	10260	2728	3593
AK4	340	337	273	290	979	901	692	1115
AK5	49	25	106	59	216	85	198	185
AK6	333	366	208	337	508	839	558	1487
AK7	109	71	53	33	277	232	88	124
AK8	105	48	100	56	410	193	176	159
AK9	244	129	177	166	506	431	370	699
AKAP1	730	382	354	337	2608	1311	717	1016
AKAP10	1003	673	771	578	2551	2021	1455	2348
AKAP11	2643	2361	3185	3279	6310	5688	5648	12754
AKAP12	6681	6470	5848	1360	22199	22730	11252	4890
AKAP13	2197	2201	2074	1907	7715	7817	4022	6921
AKAP14	2	4	1	1	7	5	2	6
AKAP17A	0	0	0	0	0	0	0	0
AKAP2	18	9	9	2	38	59	9	6
AKAP3	124	68	40	28	424	280	114	70
AKAP4	0	0	0	0	0	0	0	0
AKAP5	137	68	76	42	224	201	129	127
AKAP6	881	330	383	164	3063	1156	796	540
AKAP7	143	161	46	50	316	354	168	192
AKAP8	697	668	1316	1670	2485	2199	3032	6140
AKAP8L	1573	904	1215	1087	5388	3563	2980	3888
AKAP9	1767	942	2179	2024	4406	3307	4015	7050
AKIP1	503	558	373	204	1743	1546	812	754
AKIRIN1	2983	3541	2777	2742	7436	9317	5457	11115
AKIRIN2	2012	1911	1488	1348	6160	6104	3272	5433
AKNA	290	230	771	967	1308	800	1998	3649
AKNAD1	24	14	0	1	86	60	3	6
AKR1A1	1643	1332	4354	2975	5951	4212	9980	9558
AKR1B1	1920	1616	2114	1257	7670	5479	5530	5065
AKR1B10	10	8	18	15	31	21	53	61
AKR1B15	1	1	1	0	1	0	5	2
AKR1C1	188	133	56	32	617	436	144	88
AKR1C2	6	9	4	4	27	16	18	12
AKR1C3	248	62	95	14	869	246	232	60
AKR1C4	1	0	0	0	2	1	0	1
AKR1C6P	0	0	0	0	0	0	0	1
AKR1CL1	0	0	0	0	1	0	0	0
AKR1D1	0	1	0	0	1	4	1	0
AKR1E2	9	5	18	10	33	15	45	31
AKR7A2	1605	1330	1336	869	6392	4060	3593	3423
AKR7A2P1	2	0	2	0	5	2	5	2
AKR7A3	4	4	6	3	15	12	20	18
AKR7L	4	2	1	1	7	2	5	10
AKT1	4133	4434	4338	3664	17589	14141	10939	14819
AKT1S1	1629	1632	3663	3090	6768	4960	8371	13202
AKT2	2939	2752	3121	2983	10801	8524	6826	9904
AKT3	2938	2424	1525	1576	5986	6238	2720	5631
AKTIP	818	397	1452	1415	1951	1259	3173	5052
ALAD	1609	2239	1888	1998	5095	8027	3733	6338
ALAS1	1234	1187	1550	1577	3698	3842	3024	5129
ALAS2	2	1	1	1	0	0	1	2
ALB	0	0	0	1	1	6	2	10
ALCAM	1594	7438	1719	3485	3735	18986	3457	13332
